Name,Description,Genre
Marooned,"Stranded on the Moon and thought to be alone, a determined robot finds an eager helper to assist him in repairing a rocket to take him back home to Earth.","Animation, Adventure, Family, Science Fiction"
Rudy: The Rudy Giuliani Story,"Biographic movie of the witty, overachieving, hot-tempered Rudy Giuliani, spanning from his rising days as a New York district attorney in the early 1980s to his marriage to part-time actress Donna Hanover, to his candidacy for mayor of New York City and his controversial methods to tackle the city's crime and urban problems, as well as his romance with his assistant Cristyne Lategano which lead to the failure of his marriage, to his battle with prostate cancer, all leading up to the terrible day of September 11, 2001 which Guiliani himself narrowly escaped death after suicide terrorists hijacked and crashed two passenger airliners into the twin World Trade Center towers leading to their collapse in which Guiliani's toughness and spirited personality help calm the city's residents to face the chaos on that day which made him a national hero.","Drama, TV Movie"
Yellowstone Cubs,"Two bear cubs, Tuffy and Tubby, are separated from their mother and spend an entire summer romping through Yellowstone National Park. In the meantime, the mother bear follows their trail as she searches for them.","Comedy, Family"
The Little Rascals,"When nine-year-old Alfalfa falls for Darla, his ""He-Man-Woman-Hating"" friends attempt to sabotage their relationship.","Romance, Comedy, Family"
Antboy 3,"Antboy is challenged by the release of archenemy Loppen from prison, the new super villain, Alicia Dufort, and competition from an all new vigilante; the Hero Without a Name.","Action, Adventure, Family"
Tiger Boy,"Matteo, a nine years old kid, builds a mask identical to the one of his hero: a wrestler of a roman suburb called The Tiger. Once the mask is on, Matteo never wants to take it off. What simply appears as a tantrum is in reality a call for help that nobody seems to hear.",Drama
Gabriel's Redemption: Part II,"Gabriel sets off on a new adventure with Julia after quitting his esteemed position at the University of Toronto, and he is ready to start a family.",Romance
Phi Phenomenon,A static close-up of a clock.  Preserved by the Academy Film Archive in 2007.,
Demon Slayer: Kimetsu no Yaiba Special Edition Hashira Training Arc Part 2,"A recap of Kimetsu no Yaiba episodes 60–63, The members of the Demon Slayer Corps and their highest-ranking swordsmen, the Hashira. In preparation for the forthcoming final battle against Muzan Kibutsuji, the Hashira Training commences. While each carry faith and determination within their hearts, Tanjiro and the Hashira enter a new story.","Animation, Action, Fantasy, Thriller"
A Girl in Summer,It is the end of summer and Isabel is a relationship with Diogo. She don't quite know what she wants from her life going forward as her father gets sick.,Drama
Ave Mujica 3rd LIVE「Veritas」,,"TV Movie, Music"
Light Years,"Macarena (8) and Perla (6), two sisters, whom after the sudden death of their parents, embark on a journey in search of Virgin Mary in an attemp to bring them back. The physical and emotional journey of both sisters reaches a new meaning when Macarena finds herself confronting the acceptance of her new reality.",
The Faculty,"When some very creepy things start happening around school, the kids at Herrington High make the chilling discovery that confirms their worst suspicions: their teachers really are from another planet!","Horror, Science Fiction"
Balto: Wolf Quest,Balto and his daughter Aleu embark on a journey of adventure and self discovery.,"Family, Animation, Adventure"
Alice's Knaughty Knight,"Pete, dressed in a suit of armor, steals away the female that Julius is after. So Julius devises his own suit of armor, made mostly out of junk, to win her back.",Animation
In the Rays of Light of Ria Formosa,"Nas Correntes de Luz da Ria Formosa (In the Rays of Light of Ria Formosa) is a kind of documentary shot over a period of 3 months in summer of 1997 and then edited over the next 2 and a half years. The work is a spiritual portrait of a place and time. It is, as is Cabanas, willfully slow, meditative, passive. It has no evident narrative, though I hope I was able in my editing and other choices to impart a kind of slowly developing momentum which functions vaguely like a narrative, or like the melodic line in a piece of music. Finally LUZ is about light, and philosophically about life, and our place on this planet, and its place in the universe.",
Hide in the Light,An adventurous group of friends dare to break into the abandoned orphanage and quickly find themselves trapped and fighting against unnatural forces.,"Horror, Thriller, Mystery"
Billion Dollar Heist,"Global, dynamic, and eye-opening, this is story of the most daring cyber heist of all time, the Bangladeshi Central Bank theft, tracing the origins of cyber-crime from basic credit card fraud to the wildly complex criminal organisations in existence today, supported by commentary and fascinating insight from highly regarded cyber security experts.",Documentary
The Male Gaze: The Heat of the Night,"When darkness falls, temperatures rise in these six stories about late night confessions, intimacy for sale, high speed hookups and full moon frissons. But when the sun comes up and reality reveals itself, will it have all been worth it?  The short films are: Thirst (2018); According to Mateo [Según Mateo] (2017); Hardcore (2016); Beast [Séptimo] (2011); Petit Ami (2017); Skai Blue (2017).",Drama
The ABCs of Love,"Thirty-year old adulteen Vincent babysits animals and children for a living, and his latest job is 9-year old Bart, who just moved into the building with his overworked and single mom.  At his new school, Bart is anxious to develop a cool reputation, so when everyone assumes that laid back, eccentric Vincent is his dad, he begs him to play along, especially when his “dad’s” fun, immature behavior delights all the kids in his class!  Initially reluctant, Vincent changes his mind after falling in love with his “son’s” attractive young teacher. And in order to spend as much time with her as possible, he does his best to make sense of the mysterious codes and expectations of his weird new tribe: the Parent-Teacher Association.  But Vincent soon faces a bigger issue: How to backtrack on the huge “tiny little lie” he’s gotten himself into.",Comedy
Atlantis: The Lost Empire,A young linguist named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,"Animation, Family, Adventure, Science Fiction"
Holland,"Teacher Nancy's life with her husband in Holland, Michigan, tumbles into a twisted tale when she and a colleague become suspicious of a secret.","Thriller, Mystery"
Warcraft,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.","Action, Adventure, Fantasy"
The Fabulous Dorseys,"The story of Tommy and Jimmy Dorsey from their boyhood in Pennsylvania through their rise, their breakup, and their personal reunion.","Music, Romance"
Magnolia,"On one random day in the San Fernando Valley, a dying father, a young wife, a male caretaker, a famous lost son, a police officer in love, a boy genius, an ex-boy genius, a game show host and an estranged daughter will each become part of a dazzling multiplicity of plots, but one story.",Drama
Impivaara - A New World,"Impivaara – A New World adapts Finnish national author Aleksis Kivi's novel Seven Brothers (1870) for the 21st Century. The emphasis is on the climate crisis, the energetic basis of our culture and the co-dependencies of human and more-than-human worlds.",Drama
Lost Boys: The Thirst,A mysterious fiend uses a designer drug to turn partiers at an all-night rave into his personal army of never-say-die bloodsuckers.,"Horror, Action, Comedy"
The Bridge on the River Kwai,"The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson, the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.","Drama, History, War"
La Bandera,"Pierre Gilieth has committed a murder in Paris. He flees to Barcelona, where he runs out of money. So he joins the Spanish Foreign Legion. He meets there two fellow countrymen, Mulot and Lucas. He tries to forget his fault... but Lucas's friendship soon appears to be less unselfish...","Drama, Romance"
Camel Through The Eye Of A Needle,"Slightly ironic comedy of wretches, who come to understand the rich and are able to accept charity, and also about how love and work prevail over the factory owner's son.",Comedy
An Important Premiere,"For many years, Buenos Aires, Argentina, was one of the best places in the world for a film buff; but from the mid-sixties onwards, successive authoritarian governments shaped the will of the spectators, dictating what could be seen and what could not, so that the true cinema lovers, in their desire to watch films, had no choice but to embark on the most extraordinary and strange adventures.",Documentary
The Road to El Dorado,"Stowing away after a failed con, a pair of swindlers end up on El Dorado, the fabled ""city of gold"", where they quickly get in over their heads when they are mistaken as gods by the inhabitants.","Family, Adventure, Animation, Comedy, Fantasy"
Carl's Date,"Carl Fredricksen reluctantly agrees to go on a date with a lady friend—but admittedly has no idea how dating works these days. Ever the helpful friend, Dug steps in to calm Carl's pre-date jitters and offer some tried-and-true tips for making friends—if you're a dog.","Animation, Adventure, Family, Comedy"
A Very English Exploitation: Inseminoid and the Shock Cinema of Norman J. Warren,"A documentary on the life and career of the legendary British exploitation film director Norman J. Warren, who gained a name for himself in the sexploitation business in the late 1960s before moving into low budget horror pictures in the 1970s and 1980s. Produced for the American release of ""Inseminoid"", which debuted on Blu-Ray in the USA on March, 10th 2020, this extensive documentary draws on hours of footage of Warren and also some of his best known collaborators such as the screenwriter David McGillivray.",Documentary
Spy,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.","Action, Comedy, Crime"
A Very English Exploitation: Inseminoid and the Shock Cinema of Norman J. Warren,"A documentary on the life and career of the legendary British exploitation film director Norman J. Warren, who gained a name for himself in the sexploitation business in the late 1960s before moving into low budget horror pictures in the 1970s and 1980s. Produced for the American release of ""Inseminoid"", which debuted on Blu-Ray in the USA on March, 10th 2020, this extensive documentary draws on hours of footage of Warren and also some of his best known collaborators such as the screenwriter David McGillivray.",Documentary
Spy,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.","Action, Comedy, Crime"
The Little Hours,"Garfagnana, Italy, 1347. The handsome servant Masseto, fleeing from his vindictive master, takes shelter in a nunnery where three young nuns, Sister Alessandra, Sister Ginevra and Sister Fernanda, try unsuccessfully to find out what their purpose in life is, a conundrum that each of them faces in different ways.",Comedy
Love Wine & Salt: A Tuscan Romance,"Amidst the hills of Tuscany, three friends embark on a vacation which turns into an unexpected romantic adventure, as they discover love with three sisters running a picturesque bed and breakfast, igniting the fury of their grandfather",Romance
Exit Protocol,An assassin whose specialty is killing other assassins trying to get out of the business decides to try to get out himself and must then team up with his former mark to escape the hired killers now gunning for them both.,"Action, Thriller"
Nils Frahm - Live at Montreux Jazz Festival 2015,Full live concert from July 7th 2015 at the 49th Montreux Jazz Festival in Switzerland.,Music
Roseland,"""Roseland"" is made up of three stories, sometimes connecting, all set in the famed New York City dance palace, and all having the same theme: finding the right dance partner.","Drama, Romance"
Far from the Tree,"On an idyllic beach in the Pacific Northwest, curiosity gets the better of a young raccoon whose frustrated parent attempts to keep them both safe.","Animation, Family"
The End of Summer,"A 16 year old girl recalls the last moments of her summer vacation, spent with friends in the Laurentians north of Montreal. She reminisces about their talks on life, death, love, and God. Shot in direct cinema style, working from a script that left room for the teenagers to improvise and express their own thoughts, the film sought to capture the immediacy of the youths presence their bodies, their language, their environment.",Documentary
Filmmakers for the Prosecution,"In 1945, two young American soldiers, brothers Budd and Stuart Schulberg, are commissioned to collect filmed and recorded evidence of the horrors committed by the infamous Third Reich in order to prove Nazi war crimes during the Nuremberg trials (1945-46). The story of the making of Nuremberg: Its Lesson for Today, a paramount historic documentary, released in 1948.","Documentary, History, TV Movie"
Fantasm Comes Again,"Libbie is assigned to her paper's sexual advice column, ""Dear Collete"". She is taking over the job of Harry a crusty old journalist who shows her the pro's and cons of the job while running on a tight deadline to get the column finished for the morning's paper. During the course of the evening they reply to a wide variety of sexual experiences submitted by the readers, some these include, sex in a threesome at a drive-in theatre, sex in a gymnasium, and sex in a library where the ""Silence Please"" sign gives the male librarian an advantage over the female readers.",Comedy
Under the Yum-Yum Tree,A love-struck landlord tries to convince a pretty tenant to dump her fiancé and give him a chance.,"Comedy, Romance"
Mantra Warrior: The Legend of The Eight Moons,"A story inspired by the original RAMAYANA, retold in a futuristic universe, involving brave warriors who possess ancient powers from another dimension.","Animation, Action, Adventure, Fantasy, Science Fiction"
Mocro Maffia: Taxi,"Younes, known as Taxi, finds himself trapped and powerless in his own home in Morocco. His wife, Samira, has seized total control over his life and that of their children. Tensions run high between Taxi and Samira’s family, especially with her ruthless nephew, Ashraf, who has sworn to kill Taxi from their very first encounter. Ashraf sees Taxi as a significant threat due to his (yet unsigned) statements to the Dutch police. Samira agrees to eliminate Younes, the father of her children.","Action, Crime"
Clavigo,"Inspired by Goethe's early romantic play Clavigo, Roland Petit's ballet recounts the agonies of a weak-willed lover torn between the contradictory promptings of his heart and his evil spirit, which urges him to serve his own interests and forsake true love in favor of a life of debauchery. Recorded live at the Opera National de Paris, Palais Garnier, October 1999.",Music
Around the World with Fanny Hill,"In Stockholm, Fanny Hill is tired of being a housewife, and she suspects that her husband Roger, a TV-commercial director who's surrounded by starlets, is cheating on her. So, she sets a trap for him with her friend Monica, files for divorce, and heads to Hollywood, with Monica, to meet film stars. She falls into a film career, with lots of nude scenes, and as it takes her from L.A. to Hong Kong and Venice, Roger follows her, jealous, hoping to win her back. In every city, she acts and she seduces, making comedy out of both; but does her heart still belong to Roger? It's on to Munich to find out.",Comedy
Lenny,Lenny Goldman is an awkward and lonely college student who gets carried away by the inertia of his surroundings. The idle time of summer threatens to exacerbate his vocational crisis.,
Knight and Day,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.","Action, Comedy"
The Killing Grounds,"Set against the backdrop of a violent gang war, the police commissioner must find who is killing young children before the next innocent victim dies.","Action, Thriller"
Turbo,The tale of an ordinary garden snail who dreams of winning the Indy 500.,"Animation, Family"
The Blind,"Long before Duck Dynasty's Phil Robertson became a reality TV star, he fell in love with Miss Kay and started a family, but his demons threatened to tear their lives apart. Set in the backwoods swamps of 1960s Louisiana, 'The Blind' shares never-before-revealed moments in Phil's life as he seeks to conquer the shame of his past, ultimately finding redemption in an unlikely place. This stunning cinematic journey chronicles the love story that launched a dynasty, the turmoil that nearly brought it crashing down, and the hope that rose from the ashes to create a foundation for generations to come.","Drama, Romance, Thriller"
Die My Love,"Grace, a writer and young mother, is slowly slipping into madness. Locked away in an old house in and around Montana, we see her acting increasingly agitated and erratic, leaving her companion, Jackson, increasingly worried and helpless.","Drama, Thriller, Comedy"
A Sound of Thunder,"When a hunter sent back to the prehistoric era runs off the path he must not leave, he causes a chain reaction that alters history in disastrous ways.","Thriller, Science Fiction, Adventure, Action"
Suspicious Massage Shop,"Unlimited service until the body and mind of female customers are satisfied! Special service for women opened~ Bong-seok, who runs a massage shop, is worried because his business is not going well. Employee Hae-soo proposes to change the business to a harmful female-only massage shop in Gangnam, but when they change to a female-only massage shop and promote it, female customers begin to come by word of mouth. Bong-seok and Hae-soo work together to secure regular customers and increase sales. We provide a special service that will heal the village, but female customers Sora and Seongae, who are satisfied with the special service, continue to come as regulars, and Bongseok’s massage shop spreads rumors around and makes a lot of money every day. Seok’s body and mind are getting more and more exhausted… Will the special service, a popular menu item at Bongseok’s massage shop, continue to gain popularity?​",Drama
Vive como sea,"A rich uncle thinks he's married with children, so a young gadabout recruits all his friends to pass themselves off as his wife, inlaws and children.",
The Grey Hounded Hare,"Bugs goes to the dog track, falls in love with the mechanical rabbit there, and has to outsmart the dogs to get to her.","Animation, Comedy"
No Strings Attached,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?","Comedy, Romance"
Strass Café,"Cinematographic poem. On grey images, in familiar yet unknown streets, Strass Café tells the story of the hopes and disappointments of a woman who speaks to herself, who also speaks to us. Another woman is mute, is she alone? Is she the same one? Maybe. And then there is a man who appears here and there. Is it her man? One night, in a deserted bar, a couple is slow dancing. But despite their proximity of circumstances, they never meet.",
El hijo del palenque,Man is murdered in a cockfighting dispute at the exact moment that his son is being born. The son grows up to avenge him.,"Action, Crime, Drama"
Dogtooth,"Three teenagers are confined to an isolated country estate that could very well be on another planet. The trio spend their days listening to endless homemade tapes that teach them a whole new vocabulary. Any word that comes from beyond their family abode is instantly assigned a new meaning. Hence 'the sea' refers to a large armchair and 'zombies' are little yellow flowers. Having invented a brother whom they claim to have ostracized for his disobedience, the uber-controlling parents terrorize their offspring into submission.",Drama
The Past Is a Grotesque Animal,"A personal, accessible look at an artist - Kevin Barnes, frontman of the endlessly versatile indie pop band of Montreal - whose pursuit to make transcendent music at all costs drives him to value art over human relationships. As he struggles with all of those around him, family and bandmates alike, he's forced to reconsider the future of the band, begging the question - is this really worth it?","Documentary, Music"
Never Say Never Again,"James Bond returns as the secret agent 007 to battle the evil organization SPECTRE. Bond must defeat Largo, who has stolen two atomic warheads for nuclear blackmail. But Bond has an ally in Largo's girlfriend, the willowy Domino, who falls for Bond and seeks revenge.","Adventure, Action, Thriller"
Bury My Heart at Wounded Knee,"Beginning just after the bloody Sioux victory over General Custer at Little Big Horn, the story is told through two unique perspectives: Charles Eastman, a young, white-educated Sioux doctor held up as living proof of the alleged success of assimilation, and Sitting Bull the proud Lakota chief whose tribe won the American Indians’ last major victory at Little Big Horn.","Western, Drama, History, TV Movie, War"
Miracolo italiano,"7 segments about life in 1990s Italy: two MPs from the opposite sides of the political spectrum spend the night together; during their honeymoon, a woman cheats on her husband with her favorite soap opera star; a married man pretends to be ill to seduce his younger nurse; a family discovers that their son's beautiful fiancée is transgender; an unsatisfied single woman is duped by her celebrity crush for Kevin Costner; two best friends want to have fun; a couple on a tropical holiday is fascinated by their indigenous masseuse.",Comedy
Rare Exports: A Christmas Tale,"Young Pietari lives with his reindeer-herding father in arctic Finland. On the eve of Christmas, a nearby excavation makes a frightening discovery and an evil Santa Claus is unleashed…","Fantasy, Horror"
Far From The Tree,"Far From the Tree is the story of a strained relationship between a mother and her teenaged son, as she struggles to come to terms with a sexual assault from her past and how she ultimately finds the courage to confront it.",Drama
Marrowbone,A young man and his three younger siblings are plagued by a sinister presence in the sprawling manor in which they live.,"Thriller, Horror, Mystery"
Kommil Foo: Wolf,Stage registration of the thirteenth show by the Flemish cabaret duo Kommil Foo. About man and his everyday tragedy. And that that man is a wolf to his fellow man...,"Comedy, Music"
Angel Guts: Red Porno,"Nami is a department store worker who agrees to stand in for a friend in a magazine photo shoot, which turns out to be for an S&M magazine. When the photos are published, she is sacked and her lover abandons her…",Drama
Peter Rabbit 2: The Runaway,"Peter Rabbit runs away from his human family when he learns they are going to portray him in a bad light in their book. Soon, he crosses paths with an older rabbit who ropes him into a heist.","Family, Comedy, Adventure, Animation"
How the West Was Won,"The epic tale of the development of the American West from the 1830s through the Civil War to the end of the century, as seen through the eyes of one pioneer family.",Western
The Grove,"When Terrance, a Black Ops soldier, goes under an experiment to create a better life for him and his fiancée Alice, his homecoming turns tragic when he stops taking medication, descending into feral madness.","Horror, Thriller, Mystery, Drama"
Olympians at Heart,"Twins Essie and Ella are best friends who share a passion for gymnastics. When they are both up for the same event, its causes a divided, and they're faced with the challenge of competing against each other.",Family
Ten Years Japan,Five short stories from five different directors set ten years in Japan's future.,Drama
The Metropolitan Opera: Aida,"Soprano Angel Blue makes her long-awaited Met role debut as the Ethiopian princess torn between love and country, one of opera’s defining roles.",
Big Stan,A weak con man panics when he learns he's going to prison for fraud. He hires a mysterious martial arts guru who helps transform him into a martial arts expert who can fight off inmates who want to hurt or love him.,"Comedy, Crime"
The Fox and the Hound,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!","Adventure, Animation, Drama, Family"
The High Pressures,"Miguel travels to Pontevedra, his hometown, with the request of serching for some locations for a movie. His trip takes him back to the place where he grew up, meeting up with some old friends, but also leads him to the possibility of a new relationship: Alicia, a young nurse who will get to calm him down.  Miguel will try to finish his work even though he mostly prefers to film the natives he meets, the movements and faces of his friends, the trains coming or the sea.  A journey around the uprooting (the cinema) and love.",Drama
A Snapshot of Forever,Wedding photographer Jessie Brooke's happy small town life is turned upside down when a famous Hollywood actor shows up at her parent's lakeside vineyard for his sister's wedding.,"TV Movie, Romance, Comedy"
Futureworld,"Two years after the Westworld tragedy in the Delos amusement park, the corporate owners have reopened the park following over $1 billion in safety and other improvements. For publicity purposes, reporters Chuck Browning and Tracy Ballard are invited to review the park. Just prior to arriving, however, Browning is given a clue by a dying man that something is amiss.","Action, Adventure, Science Fiction, Thriller"
Dallas Buyers Club,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.","Drama, History"
Wild Things,"When teen-socialite Kelly Van Ryan and troubled bad girl Suzie Toller accuse guidance counselor Sam Lombardo of rape, he's suspended by the school, rejected by the town, and fighting to get his life back. One cop suspects conspiracy, but nothing is what it seems...","Mystery, Thriller, Drama"
Apartment Inferno,"Who doesn't know this problem? You cheerfully kill someone, but how will you get rid of the corpse now? No problem for Yoshiki who is specialised in getting rid of anything in his apartment. Someday his junior partner Chiharu finds in the apartment a mysterious in blood-soaked woman, who is currently getting rid of some corpse parts. In the time Yoshiki isn't in the apartment they both get closer...",Horror
Kino's Journey: Country of Illness -For You-,"The movie adapts a story from volume 5 of the Kino's Journey light novel series: Kino travels to a country divided into two parts: the very clean and peaceful city, closed off from the surrounding wastelands. Kino meets a little girl in the city suffering from a disease which is constantly being researched. The girl, however, does not know just how the research is being done.","Animation, Drama, Adventure, Fantasy"
Taková láska,"A student commits suicide out of unhappy love to a married man; story is recounted in retrospective by a ""judge"" who asks the audience to decide who is the guilty party.",Drama
One Day,"A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.","Drama, Romance"
As Doze Estrelas,,Drama
Daredevil,A man blinded in a childhood accident fights crime using his superhumanly-elevated remaining senses.,"Fantasy, Action"
Golpe de Sorte - Um Conto de Natal,"At Maria do Céu's mansion, the Garcias prepare for their first Christmas with the whole family together, but not everything will go as planned... Will the magic of Christmas really happen in Alvorinha?",Drama
The Night Clerk,"Hotel night clerk Bart Bromley is a highly intelligent young man on the Autism spectrum. When a woman is murdered during his shift, Bart becomes the prime suspect. As the police investigation closes in, Bart makes a personal connection with a beautiful guest named Andrea, but soon realises he must stop the real murderer before she becomes the next victim.","Thriller, Crime, Drama"
Golpe de Sorte - Um Conto de Natal,"At Maria do Céu's mansion, the Garcias prepare for their first Christmas with the whole family together, but not everything will go as planned... Will the magic of Christmas really happen in Alvorinha?",Drama
The Night Clerk,"Hotel night clerk Bart Bromley is a highly intelligent young man on the Autism spectrum. When a woman is murdered during his shift, Bart becomes the prime suspect. As the police investigation closes in, Bart makes a personal connection with a beautiful guest named Andrea, but soon realises he must stop the real murderer before she becomes the next victim.","Thriller, Crime, Drama"
Gothika,"After a car crash, criminal psychologist Dr. Miranda Grey regains consciousness only to find that she's a patient in the same mental institution that currently employs her. She's been accused of murdering her husband Dr. Douglas Grey — but she has no memory of committing the crime. As she tries to regain her memory and convince her co-worker, Dr. Pete Graham, of her innocence, a vengeful spirit uses her as an earthly pawn, which further convinces everyone of her guilt.","Horror, Thriller, Mystery"
The Holiday,"Two women, one American and one British, swap homes at Christmastime following bad breakups. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.","Comedy, Romance"
Cocaine Werewolf,"Cocaine, Cash and a Crew filming a horror movie in the mysterious woods of northern Pennsylvania clash when an unexpected visit from a Werewolf literally enters the picture.",Horror
We're Back! A Dinosaur's Story,"Captain New Eyes travels back in time and feeds dinosaurs his Brain Grain cereal, which makes them intelligent and non-violent. They agree to go to the ""Middle Future"" in order to grant the wishes of children in New York City. They are to meet Dr. Bleeb of the Museum of Natural History, but get sidetracked with their new children friends and run into the Captain's evil brother, Professor Screweyes.","Animation, Science Fiction, Family"
Loving Vincent,A young man arrives at the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.,"Animation, Drama, Mystery, History"
Last Shift,"Rookie police officer Jessica Loren has been assigned the last shift at a closing police station and must wait for a hazmat crew to collect biomedical evidence. Ordered not to leave the station under any circumstances, Jessica comes to learn that it's more than just an outdated station, it's home to the ultimate embodiment of evil and his devoted bloodthirsty followers. Jessica is left to fend for herself in the Devil's playground.","Horror, Mystery"
The Other Way,"Russian front, January, 1943. It's hell: the flurries of sleet take the breath away and Sergeant Bisi can make out nothing in the landscape in front of him.","History, War"
Les Secrets du château de Chenonceau,,"Documentary, TV Movie"
Images of a Lost City,"""Imagens de uma cidade perdida"" is a portrait of an old area of Lisbon, primarily the Alfama, but also other central areas - Castelo São Jorge, Graça, Bairro Alto, and elsewhere. It was shot in 1997-98, over the span of more than a year. Like those places, its pace is languid and it wears the sense of ""saudade"" which defines Lisboa and Portugal.",Documentary
Barbarous Mexico,"Eight tales based on the most brutally terrifying Mexican traditions and legends, an anthology of haunting stories woven into the fabric of the Mexican culture, some told through the centuries and some new, but all equally frightening. Bogeymen, trolls, ghosts, monsters, all brought to life. Time for Aztec sacrifices. This is the Day of the Dead.","Horror, Fantasy"
Heart of Stone,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,"Thriller, Action"
Adult Only Institute,"Chi-soo is a repeater who gets bullied by his friends. However, he had a secret about his body that rumors wouldn't die down about...  The secret was that he was the possessor of an outstanding package. Rumors about Chi-soo spread and all the women begin to desire him.  Chi-soo who realizes what he has, takes revenge on those who bullied him by conquering all their women...","Comedy, Drama, Romance"
Home on the Range,"When a greedy outlaw schemes to take possession of the ""Patch Of Heaven"" dairy farm, three determined cows, a karate-kicking stallion and a colorful corral of critters join forces to save their home. The stakes are sky-high as this unlikely animal alliance risk their hides and match wits with a mysterious band of bad guys.","Animation, Family"
Slayers,A group of superstar influencers are drawn to a reclusive billionaire's mansion only to find themselves trapped in the lair of an evil vampire. The only way out is to be saved by a famous online gamer and an old school vampire hunter.,"Horror, Comedy, Fantasy"
The Wandering Earth,"When the Sun begins to expand in such a way that it will inevitably engulf and destroy the Earth in a hundred years, united mankind finds a way to avoid extinction by propelling the planet out of the Solar System using gigantic engines, moving it to a new home located four light years away, an epic journey that will last thousands of years.","Science Fiction, Action, Drama"
Rabbit Seasoning,Elmer Fudd is hunting both Daffy Duck and Bugs Bunny again.,"Animation, Comedy"
Goosebumps,"After moving to a small town, Zach Cooper finds a silver lining when he meets next door neighbor Hannah, the daughter of bestselling Goosebumps series author R.L. Stine. When Zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to Stine, Zach and Hannah to get all of them back in the books where they belong.","Adventure, Horror, Comedy"
A Horse Called Bear,"After his mother unexpectedly dies, 17-year-old Ethan discovers he is the owner of his mother's horse - a horse he never even knew existed. He travels cross country to live with his grandparents and investigate the mystery. His grandmother is supportive but his angry grandfather Otto doesn't seem to want him around. Next door live three children who are taking riding lessons at the same farm where his mother's horse is boarded. Their lives intersect as Ethan deals with his grief over his mother's death and the children deal with a neighborhood bully whose father works at the horse farm. The journey for Ethan, Otto, the three children, the bully and her father all revolve around a gentle and faithful horse called Bear who deeply touches all their lives. This is a delightful redemption-themed family movie that will appeal to children, teens, horse-lovers and people of all ages.","Family, Drama"
The Collector,"Desperate to repay his debt to his ex-wife, an ex-con plots a heist at his new employer's country home, unaware that a second criminal has also targeted the property, and rigged it with a series of deadly traps.","Horror, Thriller"
The Forgotten Battle,"In WWII's final years, a soldier in the German army, a British glider pilot, and a Dutch resistance fighter's paths intertwine. Their choices shape destinies, impacting not only their freedom but also that of others.","Action, War, Adventure, History, Drama"
Fractured,"Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the check-in nurse, Ray is finally able to get her to a doctor. While the wife and daughter go downstairs for an MRI, Ray, exhausted, passes out in a chair in the lobby. Upon waking up, they have no record or knowledge of Ray's family ever being checked in.","Thriller, Drama"
Eichmann und das Dritte Reich,,Documentary
Earthquake,"Various interconnected people struggle to survive when an earthquake of unimaginable magnitude hits Los Angeles, California.","Action, Drama, Thriller"
La Blue Girl: Revenge of the Shikima Realm,Three complete stories of Ninja Sexcraft! The live action version of the anime hit. Miko has been training all her life for the inevitable day when the sex-starved Shikima Demons would invade to subjugate the women of Earth with their lascivious tentacles. Now the barriers are breaking down and the people of Earth are in peril. The demons won't stop until they have insinuated themselves into every orifice available. Will the Shikima demons make slaves of all of Miko's friends? How can Miko possibly defend against the wrath of an entire dimension?,"Action, Horror"
